Language,Model,Control_MSE,Difference,Real_MSE
Arabic,LM-L11,0.0683217992385228,-0.013970697919527694,0.0822924971580505
Arabic,LM-L12,0.059044358630975034,0.009081100424130732,0.0499632582068443
Arabic,LM-L2,0.05899006004134807,0.01411111528674757,0.0448789447546005
Arabic,LM-L6,0.05513937895496684,-0.007459080467621469,0.0625984594225883
Arabic,Ridge,0.0649520528091032,0.0266033741181618,0.0383486786909414
Arabic,XGBoost,0.05855290343364073,0.01612997179230053,0.0424229316413402
English,LM-L11,0.0413674650092919,0.0281320748229821,0.0132353901863098
English,LM-L12,0.040768239647150005,0.014853673055768006,0.025914566591382
English,LM-L2,0.039537551502386664,0.026823121743897563,0.0127144297584891
English,LM-L6,0.03925202166040733,0.01694530931611853,0.0223067123442888
English,Ridge,0.04228835640550824,0.021996485728476838,0.0202918706770314
English,XGBoost,0.04060988004008926,0.02527944619456926,0.01533043384552
Finnish,LM-L11,0.042989291250705663,0.022487010806798963,0.0205022804439067
Finnish,LM-L12,0.03868869816263513,0.010235664745171829,0.0284530334174633
Finnish,LM-L2,0.0394331204394499,0.021046618620554604,0.0183865018188953
Finnish,LM-L6,0.038014393299818004,0.017611974850297005,0.020402418449521
Finnish,Ridge,0.0409711568047486,0.012843546184709401,0.0281276106200392
Finnish,XGBoost,0.0403173317511876,0.020889026423295303,0.0194283053278923
Indonesian,LM-L11,0.04810185606280957,0.022859890634814868,0.0252419654279947
Indonesian,LM-L12,0.04272143542766566,-0.019121080636978136,0.0618425160646438
Indonesian,LM-L2,0.041749163220326034,0.019516543174783334,0.0222326200455427
Indonesian,LM-L6,0.04095922037959093,-0.002110999077558566,0.0430702194571495
Indonesian,Ridge,0.0451436651107379,0.024125028056162696,0.0210186370545752
Indonesian,XGBoost,0.040805539737145034,0.021055237079660033,0.019750302657485
Japanese,LM-L11,0.05907365928093589,0.036272848645846095,0.0228008106350898
Japanese,LM-L12,0.05887212728460626,0.03604862590630846,0.0228235013782978
Japanese,LM-L2,0.0586540028452873,0.0401930455118418,0.0184609573334455
Japanese,LM-L6,0.052842711408932964,0.03365807359417276,0.0191846378147602
Japanese,Ridge,0.0620229123180161,0.026511433753272598,0.0355114785647435
Japanese,XGBoost,0.0597160359223683,0.0314552088578542,0.0282608270645141
Korean,LM-L11,0.034949224442243534,0.023665747605264235,0.0112834768369793
Korean,LM-L12,0.032582659895221334,0.016961812662581635,0.0156208472326397
Korean,LM-L2,0.034373698135217005,0.021106181045373304,0.0132675170898437
Korean,LM-L6,0.032591409981250735,0.011623311787843735,0.020968098193407
Korean,Ridge,0.038395083609313,0.0193361011294097,0.0190589824799033
Korean,XGBoost,0.0369604354103406,0.021310917412241302,0.0156495179980993
Russian,LM-L11,0.05601810415585834,0.038468086471160234,0.0175500176846981
Russian,LM-L12,0.0574263843397299,0.032527538637320205,0.0248988457024097
Russian,LM-L2,0.05225708956519761,0.02258422660330931,0.0296728629618883
Russian,LM-L6,0.0476180476446946,0.0299821378042301,0.0176359098404645
Russian,Ridge,0.06287419670793021,0.03680312701898691,0.0260710696889433
Russian,XGBoost,0.060070688525835636,0.035810840005675935,0.0242598485201597
