Submetric,Language,BestModel,MSE
Avg. Dependency Length,Arabic,LM-L6,0.0370776951313018
Avg. Dependency Length,English,Ridge,0.0063291946217137
Avg. Dependency Length,Finnish,Ridge,0.0178179830623748
Avg. Dependency Length,Indonesian,LM-L6,0.0194035992026329
Avg. Dependency Length,Japanese,LM-L12,0.0745879858732223
Avg. Dependency Length,Korean,LM-L11,0.0141471670940518
Avg. Dependency Length,Russian,LM-L11,0.014958425424993
Max Tree Depth,Arabic,LM-L2,0.0274897702038288
Max Tree Depth,English,LM-L11,0.0102100390940904
Max Tree Depth,Finnish,LM-L11,0.014373461715877
Max Tree Depth,Indonesian,Ridge,0.0182645023269505
Max Tree Depth,Japanese,LM-L11,0.0280161574482917
Max Tree Depth,Korean,LM-L12,0.0130961397662758
Max Tree Depth,Russian,LM-L2,0.0098820682615041
Subordinate Chain Length,Arabic,LM-L11,0.0426948443055152
Subordinate Chain Length,English,Ridge,0.0154628104781148
Subordinate Chain Length,Finnish,LM-L6,0.0252304524183273
Subordinate Chain Length,Indonesian,LM-L11,0.0312173776328563
Subordinate Chain Length,Japanese,LM-L2,0.0481592938303947
Subordinate Chain Length,Korean,LM-L11,0.0400394164025783
Subordinate Chain Length,Russian,LM-L6,0.0249023120850324
Verb Edges,Arabic,LM-L11,0.0588316656649112
Verb Edges,English,LM-L11,0.0290052238851785
Verb Edges,Finnish,LM-L6,0.038667045533657
Verb Edges,Indonesian,LM-L12,0.0437094829976558
Verb Edges,Japanese,LM-L11,0.063604362308979
Verb Edges,Korean,XGBoost,0.0371718592941761
Verb Edges,Russian,LM-L11,0.0281285736709833
Lexical Density,Arabic,LM-L11,0.0512662082910537
Lexical Density,English,LM-L2,0.0187132190912961
Lexical Density,Finnish,LM-L6,0.0395857989788055
Lexical Density,Indonesian,LM-L6,0.0263559315353631
Lexical Density,Japanese,LM-L2,0.0645560249686241
Lexical Density,Korean,Ridge,0.0592314564206086
Lexical Density,Russian,LM-L6,0.0295638032257556
Token Count,Arabic,XGBoost,0.0376175865530967
Token Count,English,XGBoost,0.0183263104408979
Token Count,Finnish,LM-L2,0.0093419756740331
Token Count,Indonesian,Ridge,0.0220306895665391
Token Count,Japanese,LM-L11,0.0125653883442282
Token Count,Korean,XGBoost,0.0333123840391635
Token Count,Russian,LM-L2,0.0078546898439526
