model_type,task_type,experiment_type,test_primary_value_mean,test_primary_value_std,test_primary_value_count,test_mse_mean,test_mse_std,test_mse_count,test_r2_mean,test_r2_std,test_r2_count,test_samples_mean,test_samples_std,test_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_count,test_recall_mean,test_recall_std,test_recall_count,test_f1_mean,test_f1_std,test_f1_count
DummyClassifier,classification,control,0.5445874001774623,0.07896713574715833,21,,,0,,,0,102.71428571428571,12.498571346929445,21,0.5445874001774623,0.07896713574715833,21,0.30251430169691423,0.0948175681758154,21,0.5445874001774623,0.07896713574715833,21,0.3870368022985592,0.09597352556151273,21
DummyClassifier,classification,main,0.5445874001774623,0.08323866975357429,7,,,0,,,0,102.71428571428571,13.174650984805199,7,0.5445874001774623,0.08323866975357429,7,0.30251430169691423,0.09994649254462443,7,0.5445874001774623,0.08323866975357429,7,0.3870368022985592,0.10116497861692356,7
DummyRegressor,regression,control,0.053911437814287304,0.02709485593185965,147,0.053911437814287304,0.02709485593185965,147,-0.2689875226376588,0.360203389105978,147,102.71428571428571,12.239057175613855,147,,,0,,,0,,,0,,,0
DummyRegressor,regression,main,0.05391143781428731,0.02728236582271514,49,0.05391143781428731,0.02728236582271514,49,-0.26898752263765885,0.3626961758676755,49,102.71428571428571,12.323757543866245,49,,,0,,,0,,,0,,,0
LogisticRegression,classification,control,0.4841130918770671,0.07119709332970323,21,,,0,,,0,102.71428571428571,12.498571346929445,21,0.4841130918770671,0.07119709332970323,21,0.4942057011747923,0.0832547197069665,21,0.4841130918770671,0.07119709332970323,21,0.4791220827786842,0.07791859330943714,21
LogisticRegression,classification,main,0.7760304912478826,0.1120228994262166,7,,,0,,,0,102.71428571428571,13.174650984805199,7,0.7760304912478826,0.1120228994262166,7,0.793522218285727,0.11137676001667643,7,0.7760304912478826,0.1120228994262166,7,0.7649407606446077,0.12660802773905347,7
Ridge,regression,control,0.05811196142727542,0.028268611957260704,147,0.05811196142727542,0.028268611957260704,147,-0.3782625840960708,0.3659604161893419,147,102.71428571428571,12.239057175613855,147,,,0,,,0,,,0,,,0
Ridge,regression,main,0.043453961883479726,0.02293374106143094,49,0.043453961883479726,0.02293374106143094,49,-0.04587595207372563,0.365602992543984,49,102.71428571428571,12.323757543866245,49,,,0,,,0,,,0,,,0
XGBClassifier,classification,control,0.5037724180581323,0.05444804788651531,21,,,0,,,0,102.71428571428571,12.498571346929445,21,0.5037724180581323,0.05444804788651531,21,0.5192124468435777,0.07055443625110337,21,0.5037724180581323,0.05444804788651531,21,0.5001892369117387,0.05780375422667303,21
XGBClassifier,classification,main,0.7801121239009438,0.11833777249471071,7,,,0,,,0,102.71428571428571,13.174650984805199,7,0.7801121239009438,0.11833777249471071,7,0.8140852524193389,0.10692623727786134,7,0.7801121239009438,0.11833777249471071,7,0.7710467438581035,0.12645221868685952,7
XGBRegressor,regression,control,0.05674574029669905,0.02810839072407636,147,0.05674574029669905,0.02810839072407636,147,-0.34086414543945015,0.3772350836874503,147,102.71428571428571,12.239057175613855,147,,,0,,,0,,,0,,,0
XGBRegressor,regression,main,0.04555143364975073,0.02633161230255128,49,0.04555143364975073,0.02633161230255128,49,-0.06798394948724724,0.42850477702751893,49,102.71428571428571,12.323757543866245,49,,,0,,,0,,,0,,,0
