model_identifier,language,DEPENDENCY_LENGTH,MAX_TREE_DEPTH,SUB_CHAIN_LENGTH,VERBAL_EDGES,LEXICAL_DENSITY,N_TOKENS
DummyRegressor,ar,0.064 0.00,0.052 0.00,0.066 0.00,0.098 0.00,0.073 0.00,0.078 0.00
DummyRegressor,en,0.012 0.00,0.029 0.00,0.025 -0.00,0.060 0.00,0.035 0.00,0.023 0.00
DummyRegressor,fi,0.020 0.00,0.035 0.00,0.047 0.00,0.075 0.00,0.049 0.00,0.022 0.00
DummyRegressor,id,0.034 0.00,0.033 0.00,0.071 0.00,0.081 0.00,0.053 -0.00,0.030 0.00
DummyRegressor,ja,0.096 0.00,0.094 0.00,0.131 0.00,0.102 -0.00,0.063 0.00,0.074 0.00
DummyRegressor,ko,0.027 0.00,0.035 0.00,0.078 0.00,0.035 0.00,0.040 0.00,0.047 0.00
DummyRegressor,ru,0.022 0.00,0.025 0.00,0.044 0.00,0.053 0.00,0.045 0.00,0.017 0.00
Ridge,ar,0.040 0.39,0.028 0.48,0.049 0.38,0.091 0.28,0.068 0.04,0.038 0.53
Ridge,en,0.006 0.45,0.013 0.60,0.015 0.48,0.045 0.32,0.024 0.18,0.027 0.11
Ridge,fi,0.018 0.25,0.030 0.15,0.037 0.30,0.066 0.25,0.058 -0.04,0.015 0.21
Ridge,id,0.026 0.27,0.018 0.47,0.035 0.53,0.070 0.07,0.038 0.43,0.022 0.37
Ridge,ja,0.076 0.29,0.053 0.37,0.070 0.37,0.094 0.12,0.077 -0.21,0.035 0.43
Ridge,ko,0.020 0.26,0.022 0.45,0.045 0.34,0.038 0.09,0.059 0.27,0.046 0.35
Ridge,ru,0.019 0.11,0.014 0.48,0.032 0.43,0.042 0.18,0.043 0.33,0.012 0.26
XGBRegressor,ar,0.045 0.22,0.028 0.44,0.057 0.16,0.107 0.13,0.067 0.01,0.038 0.49
XGBRegressor,en,0.009 0.21,0.012 0.61,0.016 0.43,0.050 0.21,0.028 0.12,0.018 0.29
XGBRegressor,fi,0.022 0.03,0.017 0.52,0.039 0.27,0.066 0.22,0.058 -0.05,0.011 0.37
XGBRegressor,id,0.024 0.32,0.029 0.07,0.044 0.39,0.077 -0.06,0.040 0.39,0.035 -0.13
XGBRegressor,ja,0.099 0.06,0.063 0.29,0.072 0.36,0.097 0.11,0.078 -0.19,0.028 0.56
XGBRegressor,ko,0.018 0.36,0.018 0.53,0.055 0.18,0.037 0.04,0.063 0.22,0.033 0.51
XGBRegressor,ru,0.023 -0.07,0.015 0.41,0.041 0.25,0.045 0.06,0.052 0.14,0.009 0.39
finetune,ar,,,,,,
finetune,en,,,,,,
finetune,fi,,,,,,
finetune,id,,,,,,
finetune,ja,,,,,,
finetune,ko,,,,,,
finetune,ru,,,,,,
probe-layerlayer1,ar,0.054 0.28,0.033 0.47,0.074 0.13,0.103 0.23,0.058 0.09,0.042 0.52
probe-layerlayer1,en,0.010 0.25,0.018 0.40,0.024 0.21,0.043 0.35,0.030 0.02,0.014 0.50
probe-layerlayer1,fi,0.029 0.19,0.017 0.55,0.056 0.07,0.100 0.02,0.040 0.21,0.006 0.59
probe-layerlayer1,id,0.047 0.14,0.024 0.34,0.049 0.46,0.052 0.25,0.039 0.13,0.029 0.23
probe-layerlayer1,ja,0.089 0.10,0.074 0.16,0.061 0.36,0.077 0.31,0.073 -0.03,0.026 0.60
probe-layerlayer1,ko,0.031 0.06,0.020 0.51,0.052 0.15,0.036 -0.00,0.066 0.05,0.076 0.14
probe-layerlayer1,ru,0.014 0.26,0.016 0.36,0.052 0.11,0.041 0.17,0.041 0.16,0.006 0.54
probe-layerlayer10,ar,0.055 0.43,0.037 0.36,0.075 0.12,0.108 0.29,0.060 0.02,0.052 0.37
probe-layerlayer10,en,0.015 -0.29,0.020 0.31,0.027 0.26,0.047 0.27,0.028 0.05,0.016 0.41
probe-layerlayer10,fi,0.029 0.18,0.032 0.22,0.073 0.08,0.087 0.13,0.044 0.07,0.011 0.25
probe-layerlayer10,id,0.046 0.14,0.027 0.27,0.065 0.38,0.048 0.35,0.039 0.36,0.026 0.23
probe-layerlayer10,ja,0.100 0.14,0.103 -0.10,0.085 0.19,0.086 0.25,0.093 -0.14,0.052 0.26
probe-layerlayer10,ko,0.027 0.17,0.024 0.44,0.053 0.14,0.036 -0.03,0.071 0.05,0.073 0.18
probe-layerlayer10,ru,0.016 0.25,0.019 0.29,0.052 0.06,0.046 0.12,0.039 0.03,0.008 0.33
probe-layerlayer11,ar,0.057 0.36,0.039 0.38,0.080 0.11,0.109 0.29,0.060 0.03,0.055 0.48
probe-layerlayer11,en,0.009 0.19,0.022 0.28,0.026 0.20,0.065 0.06,0.027 0.05,0.018 0.39
probe-layerlayer11,fi,0.031 0.16,0.023 0.32,0.055 0.13,0.084 0.18,0.042 0.12,0.012 0.22
probe-layerlayer11,id,0.049 0.16,0.029 0.19,0.081 0.06,0.048 0.34,0.038 0.35,0.027 0.20
probe-layerlayer11,ja,0.120 0.12,0.076 0.19,0.070 0.33,0.088 0.29,0.080 -0.12,0.036 0.46
probe-layerlayer11,ko,0.029 0.19,0.026 0.38,0.057 0.06,0.036 -0.04,0.070 -0.01,0.080 0.16
probe-layerlayer11,ru,0.020 0.07,0.018 0.31,0.058 0.04,0.043 0.17,0.037 0.09,0.009 0.31
probe-layerlayer12,ar,0.073 -0.13,0.053 0.05,0.080 -0.04,0.111 0.07,0.057 0.05,0.079 0.01
probe-layerlayer12,en,0.009 0.01,0.029 0.06,0.025 0.07,0.058 0.01,0.030 0.02,0.023 0.17
probe-layerlayer12,fi,0.020 0.05,0.037 -0.05,0.047 -0.01,0.080 0.04,0.051 -0.03,0.016 -0.03
probe-layerlayer12,id,0.030 0.01,0.033 0.05,0.065 -0.08,0.062 0.04,0.046 0.04,0.032 0.10
probe-layerlayer12,ja,0.092 0.08,0.088 -0.01,0.094 -0.03,0.099 0.06,0.068 -0.02,0.063 0.03
probe-layerlayer12,ko,0.029 0.01,0.037 0.02,0.053 0.02,0.034 -0.00,0.071 0.13,0.066 0.04
probe-layerlayer12,ru,0.017 0.04,0.028 0.00,0.049 0.04,0.045 0.01,0.051 -0.07,0.016 -0.09
probe-layerlayer2,ar,0.060 0.33,0.038 0.40,0.079 0.11,0.116 0.23,0.058 0.04,0.048 0.47
probe-layerlayer2,en,0.010 0.27,0.020 0.37,0.029 0.08,0.051 0.26,0.030 0.02,0.011 0.58
probe-layerlayer2,fi,0.038 0.07,0.022 0.35,0.062 0.06,0.104 0.05,0.039 0.14,0.007 0.58
probe-layerlayer2,id,0.044 0.21,0.026 0.31,0.065 0.29,0.050 0.30,0.037 0.16,0.027 0.30
probe-layerlayer2,ja,0.120 -0.02,0.082 0.11,0.064 0.30,0.083 0.30,0.074 0.04,0.029 0.43
probe-layerlayer2,ko,0.040 0.18,0.020 0.57,0.050 0.20,0.035 -0.00,0.063 0.03,0.083 0.32
probe-layerlayer2,ru,0.018 0.05,0.018 0.28,0.055 0.07,0.046 0.15,0.039 0.09,0.005 0.56
probe-layerlayer3,ar,0.058 0.28,0.036 0.42,0.080 0.13,0.118 0.28,0.054 0.10,0.044 0.50
probe-layerlayer3,en,0.011 0.18,0.022 0.28,0.031 0.06,0.057 0.27,0.030 0.06,0.010 0.63
probe-layerlayer3,fi,0.035 0.12,0.023 0.38,0.059 0.14,0.093 0.12,0.042 0.13,0.011 0.37
probe-layerlayer3,id,0.042 0.19,0.026 0.35,0.068 0.22,0.049 0.32,0.036 0.21,0.025 0.32
probe-layerlayer3,ja,0.122 0.06,0.088 0.10,0.059 0.44,0.077 0.35,0.080 -0.00,0.026 0.62
probe-layerlayer3,ko,0.042 0.18,0.037 0.13,0.051 0.19,0.036 -0.03,0.064 0.01,0.104 0.12
probe-layerlayer3,ru,0.014 0.25,0.017 0.35,0.055 0.07,0.047 0.07,0.038 0.03,0.007 0.44
probe-layerlayer4,ar,0.056 0.29,0.032 0.49,0.079 0.13,0.119 0.31,0.060 0.05,0.037 0.59
probe-layerlayer4,en,0.011 0.19,0.019 0.38,0.026 0.18,0.052 0.20,0.028 0.04,0.012 0.57
probe-layerlayer4,fi,0.032 0.18,0.021 0.40,0.056 0.18,0.096 0.07,0.044 0.08,0.009 0.45
probe-layerlayer4,id,0.036 0.25,0.026 0.24,0.061 0.29,0.051 0.27,0.039 0.30,0.026 0.28
probe-layerlayer4,ja,0.120 0.10,0.076 0.22,0.056 0.51,0.075 0.37,0.084 -0.07,0.023 0.66
probe-layerlayer4,ko,0.037 0.29,0.032 0.41,0.049 0.35,0.035 0.02,0.062 0.02,0.097 0.22
probe-layerlayer4,ru,0.013 0.29,0.016 0.33,0.052 0.06,0.049 0.09,0.038 0.08,0.006 0.53
probe-layerlayer5,ar,0.050 0.35,0.031 0.44,0.072 0.13,0.105 0.30,0.065 -0.02,0.039 0.53
probe-layerlayer5,en,0.011 0.17,0.017 0.40,0.024 0.21,0.052 0.33,0.027 0.09,0.013 0.49
probe-layerlayer5,fi,0.032 0.18,0.021 0.36,0.055 0.17,0.112 -0.13,0.042 0.13,0.010 0.35
probe-layerlayer5,id,0.037 0.18,0.026 0.26,0.061 0.27,0.049 0.31,0.037 0.32,0.028 0.24
probe-layerlayer5,ja,0.112 0.11,0.079 0.17,0.055 0.47,0.075 0.34,0.073 0.03,0.023 0.66
probe-layerlayer5,ko,0.033 0.26,0.032 0.28,0.047 0.26,0.035 -0.00,0.066 0.09,0.094 0.19
probe-layerlayer5,ru,0.015 0.21,0.016 0.38,0.049 0.14,0.044 0.11,0.037 0.09,0.004 0.68
probe-layerlayer6,ar,0.045 0.42,0.028 0.48,0.069 0.12,0.108 0.28,0.064 -0.02,0.040 0.50
probe-layerlayer6,en,0.009 0.23,0.016 0.43,0.022 0.25,0.047 0.36,0.025 0.11,0.016 0.33
probe-layerlayer6,fi,0.027 0.22,0.016 0.51,0.053 0.17,0.109 -0.14,0.044 0.11,0.007 0.54
probe-layerlayer6,id,0.035 0.16,0.025 0.24,0.066 0.22,0.048 0.29,0.043 0.15,0.030 0.12
probe-layerlayer6,ja,0.114 0.10,0.078 0.19,0.053 0.47,0.070 0.40,0.076 -0.03,0.023 0.66
probe-layerlayer6,ko,0.031 0.26,0.028 0.45,0.050 0.31,0.035 0.01,0.074 -0.07,0.090 0.20
probe-layerlayer6,ru,0.014 0.32,0.016 0.41,0.058 0.03,0.045 0.12,0.039 0.09,0.004 0.67
probe-layerlayer7,ar,0.050 0.32,0.034 0.36,0.072 0.08,0.140 0.01,0.057 0.06,0.048 0.39
probe-layerlayer7,en,0.010 0.17,0.016 0.43,0.025 0.15,0.052 0.32,0.025 0.06,0.016 0.32
probe-layerlayer7,fi,0.029 0.17,0.016 0.52,0.052 0.15,0.101 -0.06,0.040 0.17,0.007 0.54
probe-layerlayer7,id,0.032 0.24,0.028 0.20,0.080 0.06,0.047 0.32,0.040 0.15,0.034 0.08
probe-layerlayer7,ja,0.115 0.02,0.076 0.16,0.060 0.39,0.075 0.34,0.071 -0.01,0.026 0.59
probe-layerlayer7,ko,0.028 0.22,0.027 0.40,0.070 -0.05,0.036 0.03,0.064 0.10,0.081 0.16
probe-layerlayer7,ru,0.017 0.13,0.017 0.33,0.050 0.11,0.044 0.13,0.037 0.14,0.006 0.54
probe-layerlayer8,ar,0.049 0.32,0.033 0.44,0.073 0.09,0.107 0.30,0.061 0.03,0.042 0.46
probe-layerlayer8,en,0.010 0.16,0.016 0.46,0.026 0.12,0.076 0.04,0.025 0.09,0.015 0.36
probe-layerlayer8,fi,0.025 0.18,0.021 0.33,0.049 0.15,0.087 0.07,0.041 0.15,0.010 0.32
probe-layerlayer8,id,0.043 0.08,0.026 0.25,0.076 0.09,0.046 0.35,0.041 0.19,0.026 0.19
probe-layerlayer8,ja,0.118 -0.00,0.073 0.13,0.066 0.33,0.079 0.31,0.071 0.02,0.029 0.54
probe-layerlayer8,ko,0.027 0.18,0.027 0.37,0.065 0.10,0.036 0.01,0.062 0.13,0.079 0.15
probe-layerlayer8,ru,0.018 0.20,0.017 0.37,0.051 0.18,0.057 -0.08,0.038 0.09,0.007 0.46
probe-layerlayer9,ar,0.054 0.27,0.039 0.31,0.074 0.10,0.113 0.29,0.057 0.04,0.050 0.38
probe-layerlayer9,en,0.010 0.16,0.019 0.36,0.025 0.13,0.075 0.02,0.026 0.10,0.014 0.41
probe-layerlayer9,fi,0.026 0.17,0.024 0.31,0.052 0.13,0.107 -0.13,0.043 0.09,0.010 0.35
probe-layerlayer9,id,0.036 0.25,0.028 0.21,0.077 0.09,0.046 0.35,0.038 0.14,0.026 0.25
probe-layerlayer9,ja,0.111 0.10,0.072 0.10,0.071 0.27,0.084 0.27,0.081 -0.09,0.037 0.42
probe-layerlayer9,ko,0.032 0.17,0.030 0.35,0.063 0.11,0.035 0.00,0.066 0.02,0.093 0.13
probe-layerlayer9,ru,0.017 0.17,0.017 0.31,0.056 0.00,0.041 0.18,0.036 0.07,0.008 0.34
